

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合
使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：配送蛮快的，第一次买这些东西，感觉挺好，包装啥的也都到位，原谅我过渣的拍照技术,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：确实很不错，很好哒很好哒！！,使用心得：东西非常好，就是物流的速度太慢了。这一回，对物流不满意，其他的都没有。商家的发票寄来很及时，收到发票一个星期之后东西才收到我也是无语啦，希望下次能够再快。谢谢！,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：东西收到几天、送朋友的、买的时候说要送礼盒结果收到就是这样子、有点………哎、,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：应该是真的吧，只是口红的外壳，跟店里买的不太一样，薄很多

使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：东西收到几天、送朋友的、买的时候说要送礼盒结果收到就是这样子、有点………哎、,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：确实很不错，很好哒很好哒！！,使用心得：买个朋友的、还没送，不过看着不错，希望朋友喜欢吧！,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：……好好好好好好,使用心得：非常好的卖家，很热情啊，下次还会来的~宝贝很不错!
使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：好漂亮的色，不错,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：是正品 知道这个信息就可以了,使用心得：我对象非常喜欢，啦啦啦啦啦,使用心得：还是很不错的，女朋友很喜欢。,使用心得：东西不错，女朋友很喜欢,使用心得：不错哦 送给我女朋友的,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：给朋友买的 朋友很满意,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：还行吧，看着质量不错，挺湿润的。不知道用后好不好。,使用心得：还没使用！送女朋友的！希望她能够喜欢！爱她就要给她最好的,使用心得：京东的物流，还是挺快的，刚到，媳妇还没开始用，看的是挺好的，还送了个桃心的小铁盒。,使用心得：媳妇说不好用，颜色太淡,使用心得：东西不错，就是包装盒有点小了，希望能弄大一点的，总的来说还是很不错，给个好评,使用心得：送人的，不过朋友很喜欢，至于具体怎么样就看她用过之后了，她高兴就行呗。,使用心得：帮同事买的，颜色很好，很自然水润

使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：客服我真的是服了 让我怀疑你们的商品 物流是咩话说,使用心得：很好，宝宝很喜欢，很开心。谢谢这么给力的价格，给力的快递！新年快乐，恭喜发财！,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：货收到了非常的好，女朋友也一定会喜欢下次有需要一定在来还比较高端,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：不错不错不错不错,使用心得：很不错，一点都不干，颜色很正，涂抹后没有什么异物感



使用心得：口红一点都不干。本来还以为颜色驾驭不住的，没想到就是想要的颜色。这个颜色挑肤色，白的人涂上很漂亮,使用心得：﹉特别好特别不错,使用心得：根本没有图片的光泽度 而且扫了码 是无该商品  算了 不想说  以后还是去专柜吧,使用心得：心中大爱香奈儿口红，喜欢好几款颜色包装，真正的高端大气上档次，,使用心得：很好，女朋友很喜欢，而且颜色特别正，买值了，下次还来,使用心得：物流速度太慢，色彩很正,使用心得：包装较好，颜色老婆比较喜欢,使用心得：东西收到了 正品 很不错！,使用心得：很不错的哦，帮个女生买的，不是很懂这个，倒是还可以的,使用心得：颜色是橘色的，我喜欢的颜色，一直都用这个颜色，这款还没用，不知是不是正牌
使用心得：很喜欢这个外壳所以买的，不错，味道也好闻,使用心得：5月20送给女朋友，她说挺好的就是不想要口红，后来，5月22号凌晨分手了,使用心得：快递很快很准时，颜色超级美，很润,使用心得：不错，老婆很喜欢，应该是真的。,使用心得：包装特别美，女朋友也非常喜欢,使用心得：送给女朋友的，她很喜欢,使用心得：地T1吹牛胡YY,使用心得：。。。。。。。。,使用心得：特別喜歡的一款，被我收入囊中啦！顏色還可以，可能等年齡上去點會更好！,使用心得：刚收到 挺开心 用几天再追加评论。
使用心得：颜色不错，很好看！就是感觉不太适合我！,使用心得：颜色喜欢～自己挑了好久,使用心得：哈哈哈哈哈哈哈哈哈哈哈哈,使用心得：好看，超级好看！,使用心得：东西不错，有一点贵了，不过能接受。对于快递我受不了。虽然今天是2月14号你们比较忙。但也不能打电话不回吧！我打了好几个电话给快递员。一直没回音，就想等老婆下班送给她，硬是拖到吃晚饭。所以给快递一个中评！,使用心得：超好看，和nars DV对比了一下，500更粉嫩一些，喜欢阿玛尼流畅的涂抹，很显色，而且不会显唇纹，即使嘴唇上有死皮也不会显出来，哑光质地真的很好看。最主要的是正品哦,使用心得：挺好的，准时到,使用心得：挺喜欢的，颜色好看哦！,使用心得：到手的时候发现拆口出破损了  有可能被拆过吧  除了包装破损外 没什么其他的问题了 颜色还不错吧 女朋友挺喜欢的,使用心得：朋友的女友很喜欢！！是正品！！！京东快递服务给力！！！！
使用心得：媳妇说不好用，颜色太淡,使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：还没使用！送女朋友的！希望她能够喜欢！爱她就要给她最好的,使用心得：很满意，送给师姐的毕业礼物，师姐很喜欢。如果有个原装袋子会更好。,使用心得：物流速度快，宝贝不错，老婆很喜欢,使用心得：很好，物流也很快，女票很喜欢。,使用心得：快递很快，东西不错，就是有点贵了，总体很好，很满意，送的礼盒很好看。,使用心得：满意满意满意满意满意满意满意满意,使用心得：颜色非常正，非常喜欢，物流非常快，比预期的到的要快，很喜欢！
使用心得：﹉特别好特别不错,使用心得：五星给京东的服务！口红有点干，不那么润，这是实话！买的人用的时候最好有个透明的润唇膏先摸一些！然后再抹这个！太干了抹完都起皮！,使用心得：刚刚打开包装发现口红被拆开过，不知道是不是正品,使用心得：物流速度太慢，色彩很正,使用心得：东西收到了 正品 很不错！,使用心得：口红一点都不干。本来还以为颜色驾驭不住的，没想到就是想要的颜色。这个颜色挑肤色，白的人涂上很漂亮,使用心得：亲效果不错，大品牌，以前都是便宜的，这次真的很好,使用心得：不错，就是颜色太深，和姨妈差不多,使用心得：发货迅速，隔一天就收到了，希望东西还不错。请客服尽快把发票补给我。先好评吧！,使用心得：东西太假，连一般的都不如
使用心得：口红有划痕，换的麻烦就算了吧！,使用心得：买来送给朋友的生日礼物，之前还知询了客服问几天能到谢谢她的奈心解答，看着颜色挺不错的，希望朋友会喜欢。,使用心得：东西不错，媳妇说是正品，快递也比较给力，送的盒子花掉了，有点小扁。但是总的来说不错,使用心得：宝贝已收到，和图片颜色相符，给妈妈买的，不知道是否是正品，不过颜色真的很艳，哈哈，本来妈妈想退，但是先在手上试了色，卖家说影响了二次销售，所以算了，适合年轻人，不过我妈说吃东西掉色,使用心得：不错。东西是正品。一次买啦两只，，，我开口红的时候一不小心顶到啦，，好心疼????,使用心得：颜色很喜欢，小清新，东西也不错，老板贴心的送了礼盒和卡片。,使用心得：很水润，可能是水润质地的原因，显色度就没有那么好，但是裸唇涂也不干，跟我之前那只比对应该是正品，满意，还送了礼品,使用心得：老公送的生日礼物   之前没用过   头一次用   还不太习惯   颜色很喜欢,使用心得：良心卖家呀。发货之前告诉我注意事项，我说是送未来婆婆的，包装的特别好，收到之后发现挺大一盒，里面全用泡沫纸封的厚厚的，口红和盒子之间都有泡沫纸防护！颜色特别漂亮，物流也快，满分。,使用心得：专柜正品，包装严密，外盒有塑封 ，兰蔻超级喜欢！
